sensor_id,measurement_type,value,epoch_ms,timestamp_iso
sensor_1,temperature,21.4,1743465600000,2025-04-01T00:00:00Z
sensor_2,pressure,101.2,1743465600000,2025-04-01T00:00:00Z
sensor_1,temperature,21.5,1743465660000,2025-04-01T00:01:00Z
sensor_2,pressure,101.25,1743465660000,2025-04-01T00:01:00Z
sensor_1,temperature,21.599999999999998,1743465720000,2025-04-01T00:02:00Z
sensor_2,pressure,101.3,1743465720000,2025-04-01T00:02:00Z
sensor_1,temperature,21.7,1743465780000,2025-04-01T00:03:00Z
sensor_2,pressure,101.35000000000001,1743465780000,2025-04-01T00:03:00Z
sensor_1,temperature,21.799999999999997,1743465840000,2025-04-01T00:04:00Z
sensor_2,pressure,101.4,1743465840000,2025-04-01T00:04:00Z
sensor_1,temperature,21.9,1743465900000,2025-04-01T00:05:00Z
sensor_2,pressure,101.45,1743465900000,2025-04-01T00:05:00Z
sensor_1,temperature,22.0,1743465960000,2025-04-01T00:06:00Z
sensor_2,pressure,101.5,1743465960000,2025-04-01T00:06:00Z
sensor_1,temperature,22.099999999999998,1743466020000,2025-04-01T00:07:00Z
sensor_2,pressure,101.55,1743466020000,2025-04-01T00:07:00Z
sensor_1,temperature,22.2,1743466080000,2025-04-01T00:08:00Z
sensor_2,pressure,101.60000000000001,1743466080000,2025-04-01T00:08:00Z
sensor_1,temperature,22.299999999999997,1743466140000,2025-04-01T00:09:00Z
sensor_2,pressure,101.65,1743466140000,2025-04-01T00:09:00Z
